bank_ref,amount,value_date,narration
BNK90070,4486.16,2026-06-12,*BBUNKNQT3WVE* ANUSHACHOUDHURY NEFT CR
BNK90012,3403.56,2026-06-15,IMPS/PVS7HZIOYKL1/SNEHARAMASWAMY/RZP
BNK90201,26896.78,2026-06-09,RZRPY/03W0FGEA9WVW/AARUSHGARG
BNK90079,34117.17,2026-06-26,RZRPY/YW7NH8RQ9NZ6/DIPTAPINGLE
BNK90013,15110.01,2026-06-06,UPI/KHMY4SJ6BW3B/PAYMENT FROM TANAYVIG
BNK90193,33682.09,2026-06-29,IMPS/XB3N27M5P7E1/ARINMALHOTRA/RZP
BNK90143,9108.76,2026-06-10,IMPS/XXJVE3DZEEDH/SAIBAWA/RZP
BNK90073,11206.38,2026-06-18,RZRPY/SLG6MM1ZXYVG/RIYABORA
BNK90026,12630.87,2026-06-29,NEFT-6VXDP5GJLQM5-JASONDUBE-RAZORPAY
BNK90038,38377.51,2026-06-29,UPI/SQ0OXFQ8MYX4/PAYMENT FROM ABDULNARAYAN
BNK90051,14715.85,2026-06-26,*C5BA75UUZPEA* NIKITARAJAGOPAL NEFT CR
BNK90017,19007.02,2026-06-13,UPI/CXLL4ZKLOOKE/PAYMENT FROM HEMANIANDRA
BNK90151,21694.59,2026-06-20,*WKMY9X8SYLEM* EKANTABHAGAT NEFT CR DUP
BNK90113,30779.35,2026-06-25,UPI/RERVT997E4UN/PAYMENT FROM MAANASCHATTERJEE
BNK90071,4486.16,2026-06-12,*BBUNKNQT3WVE* ANUSHACHOUDHURY NEFT CR DUP
BNK90164,23461.32,2026-06-13,UPI-pj16dvtja0as-ISHANVIMORAR-OK
BNK90018,29923.84,2026-06-20,RTGS H2VLPYS280XK CHATURAWASON SETTLEMENT
BNK90042,33743.17,2026-06-09,TO TRANSFER-UPI/1IYYO4UDOJEN/MEERAGOEL
BNK90040,30540.85,2026-06-07,*XPJ4HNRIUU9K* JASONMUTTI NEFT CR
BNK90028,35713.04,2026-06-04,TO TRANSFER-UPI/5ZJA8DZR1YXR/FALAKCHAKRABARTI
BNK90111,9705.54,2026-06-25,NEFT-NKN35XYCUVFM-AACHALKRISH-RAZORPAY
BNK90041,27996.97,2026-06-22,RZRPY/UY0BVR6K2VMW/GANGADIVAN
BNK90229,3356.93,2026-06-28,GST ON BANK CHARGES
BNK90081,40465.19,2026-06-16,RZRPY/7E36HTF4PYZR/PARTHNARAYANAN
BNK90159,38248.61,2026-06-11,UPI/KYVK7N3BFH02/PAYMENT FROM PAHALSETTY DUP
BNK90062,42882.6,2026-06-05,TO TRANSFER-UPI/B5M9J98CWN2Y/WAHABREDDY
BNK90087,9322.41,2026-07-01,RZRPY/R5L8A78E9RIV/INAYAOAK
BNK90175,19535.01,2026-06-13,RZRPY/HZN4KGEUIDJI/SNEHABERA
BNK90205,5690.96,2026-06-05,IMPS/OQGVZHQJY62Z/ZANSIBUMB/RZP
BNK90025,1451.76,2026-06-12,IMPS/AM148P0TVHHP/SUHANIDHILLON/RZP DUP
BNK90114,34380.6,2026-06-22,RTGS POXTFDC79FLV RUSHILPAL SETTLEMENT
BNK90180,36028.16,2026-06-22,*TG5PIZX3HCWS* BHAVINIDHAR NEFT CR
BNK90198,40951.63,2026-06-11,RTGS F6XDN8WWIIF8 DAKSHACHACKO SETTLEMENT
BNK90056,21704.49,2026-06-12,UPI-yup12spfhv5b-PRANITBANIK-OK
BNK90209,31930.13,2026-06-07,RTGS VLS9MEUSWRGV JAGVIVARUGHESE SETTLEMENT
BNK90084,30290.26,2026-06-28,UPI/G51BXW76ICVQ/PAYMENT FROM TURVIKURIAN
BNK90166,34872.62,2026-06-14,IMPS/UW9OHTUGUR9U/OMANDRA/RZP DUP
BNK90192,444.61,2026-06-08,IMPS/NT0MQ8ABKAE6/FARIQBALA/RZP
BNK90049,21931.93,2026-06-15,TO TRANSFER-UPI/MNZ1UDBFWYJX/LIBNIGOSWAMI DUP
BNK90030,25896.78,2026-06-16,RZRPY/IGATJ9TZE5R5/MEKHALASOLANKI
BNK90196,6488.78,2026-06-25,RTGS AYEQAHTHSJR0 YASHAWINIPATLA SETTLEMENT
BNK90098,41953.21,2026-06-07,RZRPY/RGOL0W82LK2N/ARYANRATTAN
BNK90039,14698.2,2026-06-02,IMPS/IYKID91ZDFKB/ANSHSIDHU/RZP
BNK90199,5459.67,2026-06-12,*LZSE99F77LU8* WAZIRGILL NEFT CR
BNK90052,36704.41,2026-06-10,NEFT-OLMLGSES6M03-UCCHALSARRAF-RAZORPAY
BNK90060,15333.84,2026-06-22,RZRPY/W3C1QKBHB7S9/BINABORA
BNK90089,7695.28,2026-06-27,IMPS/FLN4RXYJ38XR/GAURANGILAD/RZP
BNK90092,27859.91,2026-06-22,UPI/B48Y1O4IZASN/PAYMENT FROM BENJAMINPRABHU DUP
BNK90212,35986.28,2026-06-30,UPI-d5n3ksgnbhds-KABIRBEDI-OK
BNK90126,3453.15,2026-06-28,IMPS/085RNTDR5XYF/TAMANNAMUTTI/RZP
BNK90083,13531.58,2026-06-22,TO TRANSFER-UPI/YXTXMGTT0IAA/HARRISONBASSI
BNK90138,13531.26,2026-06-04,RZRPY/JK4Q5V7C6S5N/CHAKRADHARBAIL
BNK90045,44283.66,2026-06-05,TO TRANSFER-UPI/92H3TV3I12VJ/SUDIKSHASEKHON
BNK90217,34011.23,2026-06-27,UPI-lovyv3lxchfu-JALSAHANDA-OK
BNK90027,27385.05,2026-06-24,NEFT-U7U6N7HV3IZK-YAUVANICHOKSHI-RAZORPAY
BNK90220,2808.95,2026-06-23,INTEREST CREDIT SAVINGS AC
BNK90082,8222.16,2026-06-06,*JAHCPZTC69QK* RAJESHRIRAVAL NEFT CR
BNK90057,21704.49,2026-06-12,UPI-yup12spfhv5b-PRANITBANIK-OK DUP
BNK90115,23606.79,2026-06-26,NEFT-DPQVL00EZZF8-YAHVIDYAL-RAZORPAY
BNK90224,2042.04,2026-06-13,CASH DEPOSIT SELF
BNK90050,14866.29,2026-06-02,RTGS KYRYBOVAKHEJ VYANJANADUGAR SETTLEMENT
BNK90053,13731.5,2026-06-09,UPI/11Q7UWW5WFCP/PAYMENT FROM AMAIRAMURTY
BNK90064,36501.52,2026-06-29,UPI-1zhwy9hecgz9-AVNICHAUDHARI-OK DUP
BNK90211,17622.05,2026-06-21,UPI/HY25M8KB9W4U/PAYMENT FROM HARITADUGAR DUP
BNK90077,38287.44,2026-06-02,RZRPY/9OR7875AUD9K/SAMESHMITRA
BNK90019,29923.84,2026-06-20,RTGS H2VLPYS280XK CHATURAWASON SETTLEMENT DUP
BNK90011,3223.18,2026-06-05,UPI/HC0CLBR7TCS4/PAYMENT FROM CHAKRIKAWAGLE
BNK90141,20077.5,2026-06-04,UPI/Z2NX1WVBD4BE/PAYMENT FROM PRISHAKAPUR
BNK90005,11425.92,2026-06-19,TO TRANSFER-UPI/9ER14FFYVNVQ/ZAYANKIBE
BNK90068,21071.29,2026-06-09,*RHVLZ049ENUL* TARATRIPATHI NEFT CR
BNK90103,16555.82,2026-06-08,TO TRANSFER-UPI/05QPAHKZ2U2T/HEMANISACHDEVA
BNK90024,1451.76,2026-06-12,IMPS/AM148P0TVHHP/SUHANIDHILLON/RZP
BNK90171,21840.8,2026-06-08,RZRPY/SUSMESJT2JPN/LIAMKOHLI DUP
BNK90031,34939.86,2026-06-15,UPI-ruyf38diuovw-VEDHIKADARA-OK
BNK90090,7695.28,2026-06-27,IMPS/FLN4RXYJ38XR/GAURANGILAD/RZP DUP
BNK90101,15772.54,2026-06-11,RZRPY/NQYYF9RK7D30/XALAKSWAMINATHAN
BNK90197,17224.45,2026-06-25,IMPS/BXANJ4X5A5XI/CHANDRANRAMESH/RZP
BNK90182,40322.1,2026-06-09,RZRPY/2RNZBC1FJOTG/YASHBORA
BNK90104,16555.82,2026-06-08,TO TRANSFER-UPI/05QPAHKZ2U2T/HEMANISACHDEVA DUP
BNK90206,28249.05,2026-06-04,UPI/16UXF5GZPL1Q/PAYMENT FROM BALVANDANI
BNK90225,1071.86,2026-06-18,GST ON BANK CHARGES
BNK90153,41030.16,2026-06-23,RTGS 7N89LTAJW253 CHAKRADHARNARAIN SETTLEMENT
BNK90156,16331.78,2026-06-07,UPI-emix7ib5n2ej-GIRINDRAHANDA-OK
BNK90123,35912.97,2026-06-12,UPI/199DXJ37C9H4/PAYMENT FROM YUVRAJGANDHI
BNK90150,21694.59,2026-06-20,*WKMY9X8SYLEM* EKANTABHAGAT NEFT CR
BNK90167,4103.11,2026-06-10,*S22WYBOW23QV* BHAVYABOASE NEFT CR
BNK90172,11348.84,2026-06-20,RZRPY/M6J8Y6RH05HH/JONATHANJAGGI
BNK90189,37608.42,2026-06-06,UPI/XTNSRTWLXDSC/PAYMENT FROM SIYACHATTERJEE
BNK90015,16197.74,2026-06-24,*8YFBNTPBN78B* CHAMANKAR NEFT CR
BNK90186,16213.81,2026-06-06,RZRPY/XZ2EI9212PGY/FIYAZIYER
BNK90203,6529.45,2026-06-27,IMPS/SWBKOK3QPWBS/SARTHAKCHAKRABARTI/RZP
BNK90174,11797.58,2026-06-20,IMPS/OYG9ZQYAHULW/YOCHANABAWA/RZP
BNK90110,15559.3,2026-06-04,NEFT-W01PDDHCVSQA-EKANTIKANAIR-RAZORPAY
BNK90227,4219.77,2026-06-13,INTEREST CREDIT SAVINGS AC
BNK90214,31754.79,2026-06-29,RTGS UGL6TBB6BNDO CHARANBAIL SETTLEMENT
BNK90034,12625.32,2026-06-20,TO TRANSFER-UPI/MLY4LYK83TQL/NISHABHATNAGAR
BNK90065,36194.23,2026-06-19,RZRPY/Z7W2SEHE2ATN/ANMOLSONI
BNK90178,17634.6,2026-06-08,IMPS/OD7RB1S9DWD7/WIDISHAMAGAR/RZP
BNK90168,23284.24,2026-06-08,NEFT-ZV83XPHX2KBV-CHASMUMSODHI-RAZORPAY
BNK90130,4555.05,2026-06-29,IMPS/1L0VDP6ORSNC/EKARAJPRABHU/RZP
BNK90033,31535.4,2026-06-11,UPI-tx63cfl0ukey-BHAVYAKHATRI-OK
BNK90228,2097.83,2026-06-27,INTEREST CREDIT SAVINGS AC
BNK90125,12044.78,2026-06-08,UPI/7F0I9G5DZX5Q/PAYMENT FROM TANAYSHAH
BNK90074,11206.38,2026-06-18,RZRPY/SLG6MM1ZXYVG/RIYABORA DUP
BNK90007,24041.87,2026-06-05,NEFT-J5PHT0HL9XPS-DEEPATOOR-RAZORPAY
BNK90226,712.56,2026-06-16,REVERSAL - DUPLICATE DEBIT
BNK90231,3612.27,2026-06-05,CASH DEPOSIT SELF
BNK90044,2865.67,2026-06-09,UPI/W7KYHQIN9N6X/PAYMENT FROM SIMONGHOSH
BNK90122,28439.33,2026-06-27,RZRPY/R2MULJAVB3K3/KABIRSHENOY
BNK90016,8675.03,2026-06-04,RTGS 5JU9BVM2P9E6 HARDIKMASTER SETTLEMENT
BNK90067,43055.76,2026-06-16,IMPS/3BBXUX1OXRWK/PRATYUSHNARULA/RZP
BNK90145,32601.83,2026-06-04,UPI/RH7LAY64YFDS/PAYMENT FROM MANTHANDAYAL
BNK90078,28796.85,2026-06-13,IMPS/J3L0XZAMKYGV/ADITYAPANDIT/RZP
BNK90190,42645.53,2026-06-19,RZRPY/T04CHSDINGXU/JASMITROUT
BNK90043,30221.31,2026-06-24,NEFT-36KOF8KRD5EQ-UPMASHANKAR-RAZORPAY
BNK90075,13050.22,2026-06-24,RTGS M72JEYN9382K AADHYAMISRA SETTLEMENT
BNK90076,13050.22,2026-06-24,RTGS M72JEYN9382K AADHYAMISRA SETTLEMENT DUP
BNK90208,2619.62,2026-06-13,TO TRANSFER-UPI/HXQPVA5KW3HG/SHAURYAKOTA DUP
BNK90108,4325.3,2026-06-18,UPI/IZ31YRUJOQW5/PAYMENT FROM ARADHANANAGY
BNK90085,25118.81,2026-06-20,UPI/I6UU13I59SOJ/PAYMENT FROM TRIPTISUBRAMANIAN
BNK90147,21197.61,2026-06-16,UPI/P0RXXF36WA7S/PAYMENT FROM EKANTIKARAVAL
BNK90158,38248.61,2026-06-11,UPI/KYVK7N3BFH02/PAYMENT FROM PAHALSETTY
BNK90132,25815.77,2026-06-08,*VG5VMF60YKNF* BINAWAGLE NEFT CR
BNK90215,10187.18,2026-06-28,TO TRANSFER-UPI/91QE37QQYZQI/CHATURANATARAJAN
BNK90170,21840.8,2026-06-08,RZRPY/SUSMESJT2JPN/LIAMKOHLI
BNK90003,6412.42,2026-06-25,*32OC6UZHR5XF* BINABAIL NEFT CR
BNK90137,15203.12,2026-06-04,*S445GDEJ31GY* LAKSHMIRAVAL NEFT CR DUP
BNK90088,9322.41,2026-07-01,RZRPY/R5L8A78E9RIV/INAYAOAK DUP
BNK90014,15110.01,2026-06-06,UPI/KHMY4SJ6BW3B/PAYMENT FROM TANAYVIG DUP
BNK90173,12719.96,2026-06-09,UPI/1TBRWR965R96/PAYMENT FROM EESHABHAVSAR
BNK90080,34117.17,2026-06-26,RZRPY/YW7NH8RQ9NZ6/DIPTAPINGLE DUP
BNK90184,34720.25,2026-06-09,UPI/IPA2VOI8UYYF/PAYMENT FROM MOHINIWALI
BNK90139,10298.02,2026-07-01,IMPS/PRAT0861TAA0/AZAANSEM/RZP
BNK90163,11077.97,2026-06-07,UPI-fv3xoleyrvxo-HARSHILRAGHAVAN-OK
BNK90020,40185.79,2026-06-30,RTGS B9W1Q5UZNOFY ATIDORA SETTLEMENT
BNK90162,27248.86,2026-06-19,RTGS XNX4SN6SM5RR LAVANYANIGAM SETTLEMENT
BNK90121,1472.28,2026-06-22,RZRPY/6PE63LBQGU3O/BHAVNANAIK
BNK90063,36501.52,2026-06-29,UPI-1zhwy9hecgz9-AVNICHAUDHARI-OK
BNK90023,24486.11,2026-06-16,UPI/JCKJLTEIYZCO/PAYMENT FROM AYUSHMANPADMANABHAN
BNK90157,18287.24,2026-06-13,NEFT-YAZBCGJC36OQ-ELIJAHKRISHNA-RAZORPAY
BNK90134,12500.73,2026-06-29,*58YREG2IV7ZZ* KAMALASRIDHAR NEFT CR
BNK90187,17150.1,2026-06-06,TO TRANSFER-UPI/0J36TCFKJNAW/OMAJAMUKHOPADHYAY
BNK90133,25815.77,2026-06-08,*VG5VMF60YKNF* BINAWAGLE NEFT CR DUP
BNK90120,18116.09,2026-06-22,NEFT-84UTDD2EC2IH-HARINIMISRA-RAZORPAY
BNK90072,34960.87,2026-06-19,*3NY9V20YAR82* EKBALBORA NEFT CR
BNK90135,12568.29,2026-06-23,UPI/A984UVKYRMJL/PAYMENT FROM YAGNESHSURI
BNK90037,29393.05,2026-06-07,NEFT-59IN4OLR6N92-NACHIKETRAMAKRISHNAN-RAZORPAY
BNK90021,7288.23,2026-06-29,RZRPY/EQTUL1P36P6Q/NIDRASAMRA
BNK90177,20345.45,2026-06-06,NEFT-CMLXZVO5270S-VIVAANMALLICK-RAZORPAY
BNK90200,5459.67,2026-06-12,*LZSE99F77LU8* WAZIRGILL NEFT CR DUP
BNK90149,31178.02,2026-06-08,TO TRANSFER-UPI/QVS8A0TPV726/DAYITAVAIDYA
BNK90029,35713.04,2026-06-04,TO TRANSFER-UPI/5ZJA8DZR1YXR/FALAKCHAKRABARTI DUP
BNK90095,16987.9,2026-06-08,RTGS ICVWV8LW2QIT BHAVINIDIN SETTLEMENT
BNK90181,5758.01,2026-06-15,TO TRANSFER-UPI/EDQQZRLF8A9K/CHAAYASURI
BNK90124,36319.08,2026-06-11,IMPS/438TGBCVARLW/HREDHAANPILLAY/RZP
BNK90146,39549.63,2026-06-04,RZRPY/2L0D1B4XGMPW/QARINSETTY
BNK90010,44341.1,2026-06-10,IMPS/B94874FRHOCN/MADHAVOOMMEN/RZP DUP
BNK90009,44341.1,2026-06-10,IMPS/B94874FRHOCN/MADHAVOOMMEN/RZP
BNK90094,852.27,2026-06-08,UPI/FI4O6L1F90S9/PAYMENT FROM ANYABHASIN
BNK90223,3133.57,2026-06-13,CHEQUE RETURN CHARGES
BNK90140,36568.57,2026-06-01,IMPS/8QSSPYE9R1F6/LILAMUNI/RZP
BNK90106,22364.8,2026-06-19,TO TRANSFER-UPI/ZPGU2HBIK2U1/SUDIKSHASOM
BNK90069,22346.01,2026-06-29,*1RSRLA8S8HMB* ORINDERTHAKUR NEFT CR
BNK90129,17329.5,2026-06-16,*OFV177UDKTMO* KABIRMADAN NEFT CR
BNK90183,5628.05,2026-06-16,RTGS H0DXHO87F00T TANAYDE SETTLEMENT
BNK90061,43821.5,2026-06-17,RZRPY/20CV3TLCXLVP/QADIMAURORA
BNK90188,17150.1,2026-06-06,TO TRANSFER-UPI/0J36TCFKJNAW/OMAJAMUKHOPADHYAY DUP
BNK90128,44226.55,2026-06-05,RTGS 8Y7UIKO4BUSU MAHIKAVAIDYA SETTLEMENT
BNK90148,16443.76,2026-06-15,UPI-6uxqm334l1vz-NEELIMASHROFF-OK
BNK90002,3681.76,2026-06-10,NEFT-KH1DNMMJBQE7-AADHYASHAH-RAZORPAY
BNK90219,44391.01,2026-06-15,UPI/HYLU6K7P9MDA/PAYMENT FROM GAYATHRISACHDEVA
BNK90213,43129.67,2026-06-20,IMPS/A1WHHKT1YJFE/LOPANAYAR/RZP
BNK90048,21931.93,2026-06-15,TO TRANSFER-UPI/MNZ1UDBFWYJX/LIBNIGOSWAMI
BNK90058,24763.87,2026-06-24,NEFT-2EK3ZEZQACJ4-QADIMCHOKSHI-RAZORPAY
BNK90091,27859.91,2026-06-22,UPI/B48Y1O4IZASN/PAYMENT FROM BENJAMINPRABHU
BNK90099,41953.21,2026-06-07,RZRPY/RGOL0W82LK2N/ARYANRATTAN DUP
BNK90116,4764.18,2026-06-21,RZRPY/3JCZUCQMRUNJ/CHANAKYAKANDA
BNK90210,17622.05,2026-06-21,UPI/HY25M8KB9W4U/PAYMENT FROM HARITADUGAR
BNK90142,20077.5,2026-06-04,UPI/Z2NX1WVBD4BE/PAYMENT FROM PRISHAKAPUR DUP
BNK90218,34011.23,2026-06-27,UPI-lovyv3lxchfu-JALSAHANDA-OK DUP
BNK90131,9080.07,2026-06-12,RTGS ZO2SUG5HCBBM FIYAZBOSE SETTLEMENT
BNK90222,2169.94,2026-06-08,REVERSAL - DUPLICATE DEBIT
BNK90047,26069.65,2026-06-07,TO TRANSFER-UPI/VULEMX15Z8VM/JACKVASA
BNK90160,7368.8,2026-06-08,UPI/EAVT8K06MOXS/PAYMENT FROM EKAPADJAGGI
BNK90109,13688.67,2026-06-28,IMPS/BW4A7FQ9P965/ONKAROM/RZP
BNK90155,31979.56,2026-06-07,UPI-gyggsnpuevjl-MANANBUTALA-OK
BNK90179,24149.19,2026-06-24,RTGS 6RIDLOFAS1EK KIAANSESHADRI SETTLEMENT
BNK90202,20404.69,2026-06-28,UPI/OB0NLW0VS52S/PAYMENT FROM CHATRESHDUGAR
BNK90117,25783.39,2026-06-06,*7G8B2ZXII6L3* WRIDESHJHAVERI NEFT CR
BNK90221,4309.01,2026-06-04,BANK CHARGES - AMC
BNK90107,23221.51,2026-06-30,UPI-w232utvg9ku8-HENRYWASON-OK
BNK90207,2619.62,2026-06-13,TO TRANSFER-UPI/HXQPVA5KW3HG/SHAURYAKOTA
BNK90165,34872.62,2026-06-14,IMPS/UW9OHTUGUR9U/OMANDRA/RZP
BNK90036,21329.06,2026-06-17,IMPS/OI4E8XF7KZOR/VANSHABANERJEE/RZP
BNK90022,7288.23,2026-06-29,RZRPY/EQTUL1P36P6Q/NIDRASAMRA DUP
BNK90035,6025.94,2026-06-12,IMPS/53A5QBSWRPBJ/ONVEERKHALSA/RZP
BNK90112,42366.37,2026-06-03,*FE0MP2IXIVZK* RAKSHABRAHMBHATT NEFT CR
BNK90169,43353.45,2026-06-10,UPI-2movs0cdk36m-NIDRABARIA-OK
